Name,Genes (tot),Stat (dist.dir.up),p (dist.dir.up),p adj (dist.dir.up),Stat (dist.dir.dn),p (dist.dir.dn),p adj (dist.dir.dn),Stat (non-dir.),p (non-dir.),p adj (non-dir.),Genes (up),Stat (mix.dir.up),p (mix.dir.up),p adj (mix.dir.up),Genes (down),Stat (mix.dir.dn),p (mix.dir.dn),p adj (mix.dir.dn)
map04213,15,-0.30354,0.4854,1,0.30354,0.5146,0.70095,0.033701,0.59324,1,5,0.94202,0.32933,1,10,-0.62483,0.65351,1
map02025,38,-0.92224,0.64312,1,0.92224,0.35688,0.59834,-1.2368,0.94572,1,9,1.9026,0.097678,1,29,-2.4756,0.96194,1
map04925,4,-0.23688,0.51241,1,0.23688,0.48759,0.67766,-0.6469,0.79527,1,1,0.33786,0.44739,1,3,-0.94203,0.77583,1
map04970,4,-0.10235,0.46608,1,0.10235,0.53392,0.71773,-0.46603,0.74571,1,1,0.69958,0.31453,1,3,-0.94203,0.77583,1
map04975,4,-1.626,0.89095,1,1.626,0.10905,0.48889,-0.23444,0.67413,1,0,NA,NA,NA,4,-0.23444,0.55793,1
map04217,17,-1.3689,0.83272,1,1.3689,0.16728,0.48889,-2.1326,0.98433,1,4,-1.6577,0.98622,1,13,-1.5192,0.87168,1
map04917,5,-1.9435,0.9366,1,1.9435,0.063402,0.48889,0.27065,0.46759,1,0,NA,NA,NA,5,0.27065,0.41949,1
map00051,74,-0.22573,0.32999,1,0.22573,0.67001,0.83845,-0.78547,0.91644,1,35,-0.093785,0.93178,1,39,-0.99312,0.76828,1
map04540,8,-1.1063,0.77562,1,1.1063,0.22438,0.5197,-0.11883,0.61622,1,1,0.59284,0.35215,1,7,-0.3511,0.56685,1
map01212,36,-1.8317,0.87845,1,1.8317,0.12155,0.48889,1.6028,0.19937,1,15,0.22736,0.78873,1,21,1.9064,0.057429,0.63012
map04360,9,-1.3706,0.85349,1,1.3706,0.14651,0.48889,-1.2845,0.92241,1,1,-1.0631,0.88996,1,8,-0.98656,0.77142,1
map04146,28,-0.91521,0.65232,1,0.91521,0.34768,0.59395,-2.3465,0.99338,1,7,-0.35717,0.84609,1,21,-2.5033,0.97771,1
map00541,38,-1.261,0.74769,1,1.261,0.25231,0.55637,0.13512,0.65115,1,19,-1.3462,0.99328,1,19,1.5372,0.086469,0.77626
map04911,2,-0.914,0.73082,1,0.914,0.26918,0.56121,-0.084574,0.56094,1,0,NA,NA,NA,2,-0.084574,0.4924,1
map04510,10,-1.2614,0.81459,1,1.2614,0.18541,0.49363,-1.4357,0.92159,1,1,-0.63979,0.7927,1,9,-1.3001,0.8308,1
map00290,16,0.18424,0.3187,1,-0.18424,0.6813,0.84646,-0.31709,0.68567,1,10,-0.82421,0.95461,1,6,0.54624,0.32101,1
map05140,3,-0.63822,0.68636,1,0.63822,0.31364,0.57711,-1.0638,0.84961,1,0,NA,NA,NA,3,-1.0638,0.80447,1
map05110,20,-1.8715,0.91932,1,1.8715,0.080676,0.48889,-2.1565,0.9865,1,1,-0.45007,0.73626,1,19,-2.1093,0.95313,1
map05235,7,-1.6624,0.89922,1,1.6624,0.10078,0.48889,-0.48185,0.72076,1,0,NA,NA,NA,7,-0.48185,0.60563,1
map05205,15,-1.7458,0.90114,1,1.7458,0.09886,0.48889,-2.1703,0.98474,1,0,NA,NA,NA,15,-2.1703,0.95078,1
map04014,16,-1.3189,0.78171,1,1.3189,0.21829,0.51922,-1.7809,0.95759,1,3,-0.97607,0.91259,1,13,-1.5068,0.86962,1
map00627,13,-0.26766,0.46719,1,0.26766,0.53281,0.71773,-0.65348,0.79591,1,7,-1.0467,0.95916,1,6,0.16864,0.43737,1
map00982,7,2.1023,0.02255,0.54386,-2.1023,0.97745,1,1.2371,0.19057,1,5,1.7628,0.09839,1,2,-0.47288,0.61598,1
map00633,13,-0.62941,0.59887,1,0.62941,0.40113,0.61828,2.0032,0.05802,0.83666,5,2.0418,0.057134,1,8,0.93947,0.19584,1
map04650,7,-1.6978,0.90455,1,1.6978,0.095446,0.48889,-0.28925,0.66327,1,0,NA,NA,NA,7,-0.28925,0.54825,1
map03070,61,3.4658,0.00018569,0.019033,-3.4658,0.99981,1,1.3714,0.2875,1,42,2.2397,0.20374,1,19,-0.87268,0.74069,1
map04062,10,-1.352,0.83545,1,1.352,0.16455,0.48889,-1.1855,0.88438,1,1,-0.63979,0.7927,1,9,-1.0364,0.77371,1
map00500,66,-4.9971,0.99982,1,4.9971,0.00017621,0.018062,3.2163,0.0099932,0.31282,20,-0.19977,0.91416,1,46,3.9843,0.00082541,0.02964
map04626,10,-0.20715,0.48107,1,0.20715,0.51893,0.70219,0.71495,0.32142,1,6,0.11004,0.68287,1,4,0.99567,0.19561,1
map00630,61,2.1755,0.0081121,0.30546,-2.1755,0.99189,1,0.7081,0.51438,1,38,1.4343,0.53635,1,23,-0.69047,0.68792,1
map04961,4,-0.47083,0.59224,1,0.47083,0.40776,0.62615,-0.25121,0.67959,1,1,0.11539,0.53327,1,3,-0.3567,0.61016,1
map00908,1,0.035093,0.44574,1,-0.035093,0.55426,0.74154,-1.9111,0.9631,1,1,-1.9111,0.97976,1,0,NA,NA,NA
map02020,287,2.3777,0.00040493,0.023718,-2.3777,0.9996,1,1.7957,0.36718,1,152,4.0668,0.12161,1,135,-1.697,0.8679,1
map00604,1,0.2749,0.36426,1,-0.2749,0.63574,0.80201,-0.78371,0.78761,1,1,-0.78371,0.83031,1,0,NA,NA,NA
map04340,3,-0.80369,0.73536,1,0.80369,0.26464,0.55928,-0.63954,0.74059,1,0,NA,NA,NA,3,-0.63954,0.6953,1
map01502,17,-2.3406,0.96794,1,2.3406,0.032057,0.48889,-0.27233,0.70985,1,3,-0.32145,0.75244,1,14,-0.15129,0.54766,1
map01524,12,-0.70407,0.62995,1,0.70407,0.37005,0.59845,-1.7047,0.96283,1,2,0.35234,0.45958,1,10,-2.025,0.93981,1
map05014,128,-2.9209,0.96433,1,2.9209,0.035673,0.48889,-5.5743,1,1,19,-0.37516,0.92882,1,109,-5.884,1,1
map05131,44,-1.6462,0.819,1,1.6462,0.181,0.48889,-3.402,0.99961,1,11,-1.5292,0.99503,1,33,-3.0454,0.99172,1
map04016,4,0.91827,0.16673,1,-0.91827,0.83327,0.949,-1.0632,0.88527,1,3,-0.35464,0.76313,1,1,-1.512,0.90708,1
map00710,27,-0.99954,0.69692,1,0.99954,0.30308,0.57711,2.3103,0.058631,0.83666,13,0.78981,0.54992,1,14,2.4473,0.020071,0.3447
map00130,34,4.7024,2.55E-06,0.00034789,-4.7024,1,1,2.0853,0.081362,0.92495,21,4.8323,3.64E-05,0.011465,13,-2.7693,0.98312,1
map04725,5,-1.4465,0.86446,1,1.4465,0.13554,0.48889,-0.13415,0.60641,1,0,NA,NA,NA,5,-0.13415,0.54342,1
map04660,9,-1.3881,0.85721,1,1.3881,0.14279,0.48889,-1.4679,0.94398,1,0,NA,NA,NA,9,-1.4679,0.86181,1
map05412,1,-0.15792,0.51322,1,0.15792,0.48678,0.67766,-1.148,0.86821,1,0,NA,NA,NA,1,-1.148,0.84481,1
map05142,6,0.15998,0.36446,1,-0.15998,0.63554,0.80201,-0.2336,0.65153,1,2,0.85984,0.25969,1,4,-0.8941,0.75291,1
map00311,5,0.4002,0.31448,1,-0.4002,0.68552,0.84913,-1.4687,0.92337,1,3,-0.7477,0.86896,1,2,-1.4065,0.85312,1
map00860,55,-1.9369,0.87593,1,1.9369,0.12407,0.48889,3.3077,0.0070467,0.24076,23,1.7766,0.24242,1,32,2.8303,0.0072427,0.15057
map04664,5,-1.2765,0.83016,1,1.2765,0.16984,0.48889,-0.54436,0.73433,1,0,NA,NA,NA,5,-0.54436,0.66476,1
